Barbarian
Barbarians are savage warriors who offend the King and all that is Holy.

Armor Types:Leather
Weapon Types:Mace/Axe
Magik System: Mage
~
40,30,10,10,10,35~
3,3,1,1,1,3~
Highway Man,Outcast,Pariah,Philistine,Goblin,Brute,Troll,Ogre,Blasphemer,Heathen,Heretic,Unholy Warrior,Dark Maurauder,Pillager,Death Bringer,Black Death,Knight of the Damned,Warlord,BURNiNATOR,Leader of the Horde~
1,1024~
3,1,1.25,1,1,0,3~
healingpotion 2,
strengthpotion 2,
magerune1 1,
magerune2 1,
magerune4 1,
magerune5 1,
magerune7 1,
axe 1,
leatherbody 1,
leatherarms 2,
leatherlegs 1~
